Agency,Bureau,Number of Websites,Number of Websites with DAP,Percent with DAP,Number of Websites with USWDS Semantic Version,Percent of Websites with USWDS Semantic Version
.gov Administration,.gov Administration,3,0,0.0,0,0.0
.gov Administration,Infrastructure Commission,1,1,100.0,0,0.0
Administrative Office of the United States Courts,United States Court of Appeals for Veterans Claims,2,0,0.0,0,0.0
Board of Governors of the Federal Reserve,Federal Financial Institutions Examination Council,11,0,0.0,0,0.0
Board of Governors of the Federal Reserve,Federal Reserve Bank,14,0,0.0,0,0.0
Board of Governors of the Federal Reserve,The Financial and Banking Information Infrastructure Committee,1,0,0.0,0,0.0
Corporation for National and Community Service,AmeriCorps,17,4,23.53,0,0.0
Corporation for National and Community Service,AmeriCorps Office of Inspector General,1,0,0.0,0,0.0
Council of the Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,13,2,15.38,3,23.08
Department of Agriculture,Agricultural Research Service,7,2,28.57,0,0.0
Department of Agriculture,Food and Nutrition Service,1,0,0.0,0,0.0
Department of Agriculture,Forest Service,12,3,25.0,1,8.33
Department of Agriculture,Office of Chief Financial Officer,3,0,0.0,0,0.0
Department of Agriculture,Office of Chief Information Officer,1,0,0.0,1,100.0
Department of Agriculture,Office of Communications,3,2,66.67,0,0.0
Department of Agriculture,Rural Development,2,0,0.0,0,0.0
Department of Commerce,Bureau of Economic Analysis,7,2,28.57,0,0.0
Department of Commerce,Bureau of Industry and Security,4,0,0.0,0,0.0
Department of Commerce,Bureau of the Census,48,24,50.0,10,20.83
Department of Commerce,Economic Development Administration,4,0,0.0,0,0.0
Department of Commerce,International Trade Administration,17,5,29.41,1,5.88
Department of Commerce,Minority Business Development Agency,3,0,0.0,0,0.0
Department of Commerce,National Institute of Standards and Technology,169,56,33.14,10,5.92
Department of Commerce,National Oceanic and Atmospheric Administration,524,294,56.11,39,7.44
Department of Commerce,National Technical Information Service,6,3,50.0,0,0.0
Department of Commerce,National Telecommunications and Information Administration,10,3,30.0,0,0.0
Department of Commerce,U.S. Patent and Trademark Office,62,24,38.71,6,9.68
Department of Defense,Air Force,230,3,1.3,2,0.87
Department of Defense,Army,203,24,11.82,4,1.97
Department of Defense,Coast Guard,14,0,0.0,0,0.0
Department of Defense,Defense Health Agency,3,2,66.67,0,0.0
Department of Defense,Defense Human Resources Activity,1,0,0.0,0,0.0
Department of Defense,Defense Media Activity,47,0,0.0,0,0.0
Department of Defense,Interagency OPSEC Support Staff,1,0,0.0,0,0.0
Department of Defense,National Guard,23,0,0.0,0,0.0
Department of Defense,National Security Agency,7,1,14.29,0,0.0
Department of Defense,Navy,112,0,0.0,2,1.79
Department of Defense,Office of the Secretary of Defense,11,1,9.09,0,0.0
Department of Defense,Space Force,1,0,0.0,0,0.0
Department of Education,Office of the Chief Information Officer,128,34,26.56,1,0.78
Department of Energy,Ames National Laboratory,5,0,0.0,0,0.0
Department of Energy,Argonne National Laboratory,237,0,0.0,0,0.0
Department of Energy,Battelle Pacific Northwest National Laboratory,23,9,39.13,0,0.0
Department of Energy,Bonneville Power Administration,9,2,22.22,0,0.0
Department of Energy,Brookhaven National Laboratory,64,0,0.0,0,0.0
Department of Energy,Department of Energy Bulding Energy Codes Program,1,0,0.0,0,0.0
Department of Energy,Energy Information Administration,4,0,0.0,0,0.0
Department of Energy,Fermi National Accelerator Laboratory,222,58,26.13,0,0.0
Department of Energy,Hanford Mission Integration Solutions,16,1,6.25,0,0.0
Department of Energy,Idaho National Laboratory,54,1,1.85,0,0.0
Department of Energy,Lawrence Berkeley National Laboratory,452,0,0.0,0,0.0
Department of Energy,Lawrence Livermore National Laboratory,188,158,84.04,7,3.72
Department of Energy,Los Alamos National Laboratory,72,19,26.39,0,0.0
Department of Energy,National Energy Research Scientific Computing Center,11,0,0.0,0,0.0
Department of Energy,"National Nuclear Security Administration, National Security Technologies, LLC",1,0,0.0,0,0.0
Department of Energy,National Renewable Energy Laboratory,45,37,82.22,0,0.0
Department of Energy,Oak Ridge Associated Universities,7,1,14.29,0,0.0
Department of Energy,Oak Ridge National Laboratory,228,104,45.61,5,2.19
Department of Energy,Office of Energy Efficiency and Renewable Energy,1,1,100.0,0,0.0
Department of Energy,Office of Scientific and Technical Information,4,0,0.0,0,0.0
Department of Energy,Office of the Chief Information Officer,187,47,25.13,4,2.14
Department of Energy,Pacific Northwest National Laboratory,84,22,26.19,4,4.76
Department of Energy,Portsmouth/Paducah Project Office,1,1,100.0,0,0.0
Department of Energy,Princeton Plasma Physics Lab,32,0,0.0,0,0.0
Department of Energy,Sandia National Laboratories,80,46,57.5,0,0.0
Department of Energy,Savannah River National Lab,1,1,100.0,0,0.0
Department of Energy,Savannah River Nuclear Solutions (SRNS),8,1,12.5,1,12.5
Department of Energy,The National Isotope Development Center,1,0,0.0,1,100.0
Department of Energy,Western Area Power Administration,7,1,14.29,0,0.0
Department of Health and Human Services,Administration for Children and Families,74,7,9.46,1,1.35
Department of Health and Human Services,Administration for Community Living,43,7,16.28,0,0.0
Department of Health and Human Services,Administration for Strategic Preparedness and Response,1,0,0.0,1,100.0
Department of Health and Human Services,Advanced Research Projects Agency for Health,5,5,100.0,0,0.0
Department of Health and Human Services,Agency for Healthcare Research and Quality,58,8,13.79,1,1.72
Department of Health and Human Services,"Assistant Secretary for Financial Resources, Office of the Secretary",13,1,7.69,7,53.85
Department of Health and Human Services,"Assistant Secretary for Planning and Evaluation, Office of the Secretary",3,2,66.67,0,0.0
Department of Health and Human Services,"Assistant Secretary for Preparedness and Response, Office of the Secretary",2,1,50.0,0,0.0
Department of Health and Human Services,Centers for Disease Control and Prevention,129,75,58.14,4,3.1
Department of Health and Human Services,Centers for Medicare and Medicaid Services,319,67,21.0,9,2.82
Department of Health and Human Services,"Enterprise Information Technology, NIH",14,6,42.86,0,0.0
Department of Health and Human Services,Food and Drug Administration,64,19,29.69,1,1.56
Department of Health and Human Services,Health Resources and Services Administration,59,6,10.17,6,10.17
Department of Health and Human Services,Indian Health Service,17,0,0.0,0,0.0
Department of Health and Human Services,"National Cancer Institute, NIH",190,144,75.79,5,2.63
Department of Health and Human Services,National Center for Advancing Translational Sciences,1,1,100.0,0,0.0
Department of Health and Human Services,"National Institute on Alcohol Abuse and Alcoholism, NIH",2,1,50.0,0,0.0
Department of Health and Human Services,"National Institute on Drug Abuse, NIH",5,3,60.0,0,0.0
Department of Health and Human Services,National Institutes of Health,744,302,40.59,32,4.3
Department of Health and Human Services,"National Institutes on Aging, NIH",1,0,0.0,0,0.0
Department of Health and Human Services,"National Library of Medicine, NIH",22,11,50.0,2,9.09
Department of Health and Human Services,"Office of Disease Prevention and Health Promotion, Office of the Secretary",2,2,100.0,0,0.0
Department of Health and Human Services,"Office of Global Affairs, Office of the Secretary",1,0,0.0,0,0.0
Department of Health and Human Services,"Office of Grants, Division of Workforce Development",1,0,0.0,0,0.0
Department of Health and Human Services,"Office of Public Health and Science, Office on Women's Health",4,2,50.0,2,50.0
Department of Health and Human Services,Office of the Assistant Secretary for Health,9,2,22.22,0,0.0
Department of Health and Human Services,"Office of the National Coordinator, Office of the Secretary",46,2,4.35,0,0.0
Department of Health and Human Services,Office of the Secretary of Health and Human Services,243,26,10.7,14,5.76
Department of Health and Human Services,"Office of the Surgeon General, Office of the Secretary",1,0,0.0,0,0.0
Department of Health and Human Services,Program Support Center,18,2,11.11,1,5.56
Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,34,3,8.82,1,2.94
Department of Homeland Security,Citizenship and Immigration Services,30,7,23.33,0,0.0
Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,24,3,12.5,0,0.0
Department of Homeland Security,Federal Emergency Management Agency,74,28,37.84,3,4.05
Department of Homeland Security,Federal Law Enforcement Training Center,21,3,14.29,2,9.52
Department of Homeland Security,Management Directorate,166,40,24.1,11,6.63
Department of Homeland Security,Science and Technology Directorate,1,1,100.0,1,100.0
Department of Homeland Security,Transportation Security Administration,21,0,0.0,0,0.0
Department of Homeland Security,U.S. Customs and Border Protection,35,23,65.71,4,11.43
Department of Homeland Security,U.S. Immigration and Customs Enforcement,17,3,17.65,0,0.0
Department of Homeland Security,United States Coast Guard,10,7,70.0,0,0.0
Department of Homeland Security,United States Secret Service,6,1,16.67,0,0.0
Department of Housing and Urban Development,Assistant Secretary for Policy Development and Research,5,0,0.0,0,0.0
Department of Housing and Urban Development,Government National Mortgage Association,11,3,27.27,0,0.0
Department of Justice,Asset Forfeiture Management Staff,9,1,11.11,0,0.0
Department of Justice,"Bureau of Alcohol, Tobacco, Firearms, and Explosives",12,1,8.33,0,0.0
Department of Justice,Civil Rights Division,7,2,28.57,0,0.0
Department of Justice,"Department of Justice, National Institute of Corrections",12,12,100.0,1,8.33
Department of Justice,"Department of Justice, Office of e-Government",13,3,23.08,3,23.08
Department of Justice,Drug Enforcement Administration,12,0,0.0,0,0.0
Department of Justice,Federal Bureau of Investigation,53,1,1.89,1,1.89
