Agency,Number of Websites,Number of Websites with DAP,Percent with DAP,Number of Websites with USWDS Semantic Version,Percent of Websites with USWDS Semantic Version
.gov Administration,4,1,25.0,0,0.0
Access Board,3,2,66.67,0,0.0
Adams Memorial Commission,1,0,0.0,0,0.0
Administrative Conference of the United States,3,0,0.0,0,0.0
Administrative Office of the United States Courts,97,5,5.15,2,2.06
Advisory Council on Historic Preservation,1,0,0.0,0,0.0
American Battle Monuments Commission,5,0,0.0,0,0.0
Appalachian Regional Commission,5,0,0.0,0,0.0
Appraisal Subcommittee of the Federal Financial Institutions Examination Council,2,2,100.0,0,0.0
Architect of the Capitol,4,0,0.0,0,0.0
Arctic Research Commission,1,1,100.0,0,0.0
Barry Goldwater Scholarship and Excellence in Education Foundation,2,0,0.0,0,0.0
Board of Governors of the Federal Reserve,44,0,0.0,1,2.27
Central Intelligence Agency,3,0,0.0,0,0.0
Chemical Safety and Hazard Investigation Board,1,0,0.0,0,0.0
Civil Rights Cold Case Records Review Board,1,1,100.0,0,0.0
Commodity Futures Trading Commission,10,5,50.0,0,0.0
Congressional Budget Office,2,0,0.0,0,0.0
Consumer Financial Protection Bureau,13,6,46.15,0,0.0
Consumer Product Safety Commission,10,2,20.0,1,10.0
Corporation for National and Community Service,20,4,20.0,0,0.0
Council of the Inspectors General on Integrity and Efficiency,10,1,10.0,2,20.0
Court Services and Offender Supervision Agency for the District of Columbia,3,0,0.0,0,0.0
Delta Regional Authority,1,0,0.0,0,0.0
Denali Commission,3,1,33.33,0,0.0
Department of Agriculture,326,58,17.79,23,7.06
Department of Commerce,937,418,44.61,67,7.15
Department of Defense,1019,76,7.46,15,1.47
Department of Education,139,35,25.18,1,0.72
Department of Energy,2277,498,21.87,27,1.19
Department of Health and Human Services,2660,767,28.83,100,3.76
Department of Homeland Security,437,119,27.23,22,5.03
Department of Housing and Urban Development,65,9,13.85,1,1.54
Department of Justice,440,195,44.32,160,36.36
Department of Labor,263,155,58.94,18,6.84
Department of State,355,238,67.04,5,1.41
Department of Transportation,353,15,4.25,7,1.98
Department of Veterans Affairs,428,95,22.2,6,1.4
Department of the Interior,495,127,25.66,34,6.87
Department of the Treasury,305,78,25.57,15,4.92
Election Assistance Commission,4,2,50.0,1,25.0
Environmental Protection Agency,193,96,49.74,9,4.66
Equal Employment Opportunity Commission,14,4,28.57,1,7.14
Executive Office of the President,88,6,6.82,5,5.68
Export-Import Bank of the United States,13,0,0.0,0,0.0
Farm Credit Administration,3,1,33.33,1,33.33
Farm Credit System Insurance Corporation,1,1,100.0,1,100.0
Federal Communications Commission,49,1,2.04,0,0.0
Federal Deposit Insurance Corporation,100,19,19.0,15,15.0
Federal Election Commission,13,5,38.46,0,0.0
Federal Energy Regulatory Commission,21,7,33.33,0,0.0
Federal Housing Finance Agency,15,2,13.33,0,0.0
Federal Judicial Center,3,0,0.0,0,0.0
Federal Labor Relations Authority,4,0,0.0,0,0.0
Federal Maritime Commission,4,1,25.0,1,25.0
Federal Mediation and Conciliation Service,1,0,0.0,0,0.0
Federal Mine Safety and Health Review Commission,1,1,100.0,0,0.0
Federal Permitting Improvement Council,1,1,100.0,0,0.0
Federal Retirement Thrift Investment Board,11,3,27.27,2,18.18
Federal Trade Commission,38,9,23.68,0,0.0
General Services Administration,468,193,41.33,68,14.53
Government Accountability Office,12,0,0.0,0,0.0
Government Publishing Office,23,0,0.0,0,0.0
Gulf Coast Ecosystem Restoration Council,2,1,50.0,0,0.0
Harry S Truman Scholarship Foundation,1,0,0.0,0,0.0
Institute of Museum and Library Services,5,0,0.0,0,0.0
Inter-American Foundation,2,0,0.0,0,0.0
International Trade Commission,7,2,28.57,0,0.0
James Madison Memorial Fellowship Foundation,1,0,0.0,0,0.0
Japan-United States Friendship Commission,3,0,0.0,0,0.0
Legal Services Corporation,5,0,0.0,0,0.0
Library of Congress,39,0,0.0,0,0.0
Marine Mammal Commission,1,0,0.0,0,0.0
Medicaid and CHIP Payment and Access Commission,1,0,0.0,0,0.0
Medicare Payment Advisory Commission,2,0,0.0,0,0.0
Merit Systems Protection Board,4,1,25.0,1,25.0
Millennium Challenge Corporation,7,2,28.57,1,14.29
Morris K. Udall and Stewart L. Udall Foundation,8,3,37.5,0,0.0
National Aeronautics and Space Administration,1210,476,39.34,20,1.65
National Archives and Records Administration,115,65,56.52,1,0.87
National Capital Planning Commission,9,1,11.11,0,0.0
National Council on Disability,2,1,50.0,0,0.0
National Credit Union Administration,20,12,60.0,0,0.0
National Endowment for the Arts,5,1,20.0,0,0.0
National Endowment for the Humanities,4,1,25.0,0,0.0
National Gallery of Art,13,0,0.0,0,0.0
